a,b,theta,phi1,phi2,E,E_p1,E_p2,E_t1,E_t2,E_t3,E_t4,E_m1,E_m2,machine_type,status,file_name,R3,R4
7.7,6.0,26.5,1,1,-42.56209388235759,-9.311087506,-9.31108750635758,-14.14918961,-14.26661555,-12.511162599999999,-12.61627053,14.80165971,14.80165971,2,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=1_phi2=1_a=7.7_b=6.0_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.6,6.0,26.5,1,-1,-42.487853175604094,-9.311087506,-9.320995889604092,-14.45132312,-14.423078899999998,-12.18688426,-12.41603836,14.80165971,14.81989515,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=1_phi2=-1_a=7.6_b=6.0_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.8,5.8,26.5,1,1,-42.20981603994571,-9.222188165,-9.222188164945694,-14.10603574,-14.21278775,-12.47369398,-12.57624166,14.80165971,14.80165971,2,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=1_phi2=1_a=7.8_b=5.8_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.6,5.9,26.5,1,2,-42.710035643399024,-9.367714009,-9.374955474399028,-14.09516727,-14.29143357,-12.57323589,-12.60271004,14.80165971,14.7935209,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=1_phi2=2_a=7.6_b=5.9_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.8,5.9,26.5,1,1,-42.4382108580149,-9.367714009,-9.36771400901489,-14.06332741,-14.17878925,-12.47875799,-12.58522761,14.80165971,14.80165971,2,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=1_phi2=1_a=7.8_b=5.9_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.7,5.8,26.5,1,-1,-42.09269129929502,-9.222188165,-9.15344444429502,-14.41719285,-14.37952343,-12.16224194,-12.37965533,14.80165971,14.81989515,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=1_phi2=-1_a=7.7_b=5.8_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.6,6.0,26.5,1,2,-42.689497244649544,-9.311087506,-9.301825458649548,-14.08799483,-14.30011831,-12.626888000000001,-12.65676375,14.80165971,14.7935209,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=1_phi2=2_a=7.6_b=6.0_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.8,6.0,26.5,1,1,-42.16311674235759,-9.311087506,-9.31108750635758,-13.99604579,-14.11916325,-12.45965658,-12.56939553,14.80165971,14.80165971,2,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=1_phi2=1_a=7.8_b=6.0_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.7,6.0,26.5,1,-1,-42.434006545604085,-9.311087506,-9.320995889604092,-14.40741625,-14.3559918,-12.21352834,-12.44654162,14.80165971,14.81989515,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=1_phi2=-1_a=7.7_b=6.0_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.7,5.8,26.5,1,2,-42.409822318196746,-9.222188165,-9.251260703196749,-14.04934649,-14.24857464,-12.59948464,-12.63414829,14.80165971,14.7935209,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=1_phi2=2_a=7.7_b=5.8_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.6,5.8,26.5,1,-2,-41.57254825713744,-9.222188165,-9.116885712137446,-14.38714767,-14.39501665,-11.90857102,-12.17453486,14.80165971,14.83013611,2,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=1_phi2=-2_a=7.6_b=5.8_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.7,5.9,26.5,1,-2,-42.369115736968354,-9.367714009,-9.329078217968343,-14.49506684,-14.42303497,-12.05274145,-12.33327607,14.80165971,14.83013611,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=1_phi2=-2_a=7.7_b=5.9_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.8,5.8,26.5,1,-1,-42.00296991929502,-9.222188165,-9.15344444429502,-14.36726188,-14.30746645,-12.17626052,-12.39790332,14.80165971,14.81989515,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=1_phi2=-1_a=7.8_b=5.8_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.7,6.0,26.5,1,2,-42.57976456464954,-9.311087506,-9.301825458649548,-13.99236858,-14.21997901,-12.65705868,-12.69262594,14.80165971,14.7935209,2,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=1_phi2=2_a=7.7_b=6.0_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.6,5.9,26.5,1,-2,-42.225070816968355,-9.367714009,-9.329078217968343,-14.46183391,-14.44440796,-11.98832755,-12.26550499,14.80165971,14.83013611,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=1_phi2=-2_a=7.6_b=5.9_cx=0_cy=0_cz=0.log,-0.3,-0.5
