a,b,theta,E,E_p,E_t,machine_type,status,file_name
6.2,9.5,25.0,-27.0488562,-1.431369135,-6.046529483,1,Done,BTBT_theta=25.0_a=6.2_b=9.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.9,6.5,25.0,-38.33343128,-4.096033874,-7.535340884,1,Done,BTBT_theta=25.0_a=7.9_b=6.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,9.3,25.0,-27.38338178,-1.292996905,-6.199346993,1,Done,BTBT_theta=25.0_a=6.3_b=9.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.9,6.6,25.0,-37.791727,-3.952076805,-7.471893347,1,Done,BTBT_theta=25.0_a=7.9_b=6.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,9.4,25.0,-27.15973722,-1.292996905,-6.143435852,1,Done,BTBT_theta=25.0_a=6.3_b=9.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,9.5,25.0,-26.89470209,-1.292996905,-6.077177071,1,Done,BTBT_theta=25.0_a=6.3_b=9.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.9,6.7,25.0,-37.15717634,-3.777120742,-7.400733713,1,Done,BTBT_theta=25.0_a=7.9_b=6.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,9.3,25.0,-27.26148169,-1.169170357,-6.230785244,1,Done,BTBT_theta=25.0_a=6.4_b=9.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
8.0,6.5,25.0,-37.78144839,-4.096033874,-7.397345159,1,Done,BTBT_theta=25.0_a=8.0_b=6.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,9.4,25.0,-26.96768151,-1.169170357,-6.157335198,1,Done,BTBT_theta=25.0_a=6.4_b=9.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
8.0,6.6,25.0,-37.20610957,-3.952076805,-7.325488989,1,Done,BTBT_theta=25.0_a=8.0_b=6.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,9.5,25.0,-26.64029699,-1.169170357,-6.075489069,1,Done,BTBT_theta=25.0_a=6.4_b=9.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
8.0,6.7,25.0,-36.54028381,-3.777120742,-7.24651058,1,Done,BTBT_theta=25.0_a=8.0_b=6.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.2,9.2,25.0,-27.46140638,-1.431369135,-6.149667026,1,Done,BTBT_theta=25.0_a=6.2_b=9.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.7,6.4,25.0,-39.36218373,-4.195726388,-7.742682737,1,Done,BTBT_theta=25.0_a=7.7_b=6.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,9.2,25.0,-27.56144402,-1.292996905,-6.243862552,1,Done,BTBT_theta=25.0_a=6.3_b=9.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.7,6.5,25.0,-39.06204569,-4.096033874,-7.717494486,1,Done,BTBT_theta=25.0_a=7.7_b=6.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,9.2,25.0,-27.51783207,-1.169170357,-6.29487284,1,Done,BTBT_theta=25.0_a=6.4_b=9.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.7,6.6,25.0,-38.62403116,-3.952076805,-7.679969388,1,Done,BTBT_theta=25.0_a=7.7_b=6.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.2,9.1,25.0,-27.48700878,-1.431369135,-6.156067628,1,Done,BTBT_theta=25.0_a=6.2_b=9.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,9.1,25.0,-27.69015887,-1.292996905,-6.276041265,1,Done,BTBT_theta=25.0_a=6.3_b=9.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.8,6.4,25.0,-39.13259037,-4.195726388,-7.685284398,1,Done,BTBT_theta=25.0_a=7.8_b=6.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,9.1,25.0,-27.7329927,-1.169170357,-6.348662997,1,Done,BTBT_theta=25.0_a=6.4_b=9.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.9,6.4,25.0,-38.74847895,-4.195726388,-7.589256543,1,Done,BTBT_theta=25.0_a=7.9_b=6.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,9.0,25.0,-27.76558557,-1.292996905,-6.294897941,1,Done,BTBT_theta=25.0_a=6.3_b=9.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.6,6.3,25.0,-39.43803713,-4.235861928,-7.74157832,1,Done,BTBT_theta=25.0_a=7.6_b=6.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,9.0,25.0,-27.90357502,-1.169170357,-6.391308577,1,Done,BTBT_theta=25.0_a=6.4_b=9.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.6,6.4,25.0,-39.40071284,-4.195726388,-7.752315016,1,Done,BTBT_theta=25.0_a=7.6_b=6.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,9.0,25.0,-27.88561568,-1.058044611,-6.442381616,1,Done,BTBT_theta=25.0_a=6.5_b=9.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.6,6.5,25.0,-39.18079569,-4.096033874,-7.747181984,1,Done,BTBT_theta=25.0_a=7.6_b=6.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,9.1,25.0,-27.6357161,-1.058044611,-6.37990672,1,Done,BTBT_theta=25.0_a=6.5_b=9.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.7,6.3,25.0,-39.4861295,-4.235861928,-7.753601411,1,Done,BTBT_theta=25.0_a=7.7_b=6.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.6,25.0,-34.86789435,-10.89126436,-3.271341407,2,Done,BTBT_theta=25.0_a=3.8_b=12.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.7,25.0,-35.13020609,-10.9955126,-3.284795222,2,Done,BTBT_theta=25.0_a=3.9_b=12.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,9.2,25.0,-27.34879343,-1.058044611,-6.308176052,2,Done,BTBT_theta=25.0_a=6.5_b=9.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.7,25.0,-34.75956103,-10.89126436,-3.244258075,2,Done,BTBT_theta=25.0_a=3.8_b=12.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,8.9,25.0,-27.78318095,-1.292996905,-6.299296786,2,Done,BTBT_theta=25.0_a=6.3_b=8.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.8,25.0,-34.6070761,-10.89126436,-3.206136843,2,Done,BTBT_theta=25.0_a=3.8_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,8.9,25.0,-28.02631598,-1.169170357,-6.421993816,2,Done,BTBT_theta=25.0_a=6.4_b=8.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.6,25.0,-35.28291692,-10.9955126,-3.32297293,2,Done,BTBT_theta=25.0_a=3.9_b=12.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,8.9,25.0,-28.09555543,-1.058044611,-6.494866552,2,Done,BTBT_theta=25.0_a=6.5_b=8.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.8,25.0,-34.93921714,-10.9955126,-3.237047986,2,Done,BTBT_theta=25.0_a=3.9_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,8.8,25.0,-28.09719951,-1.169170357,-6.439714698,2,Done,BTBT_theta=25.0_a=6.4_b=8.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
4.0,12.6,25.0,-34.97675479,-10.75773024,-3.36532358,2,Done,BTBT_theta=25.0_a=4.0_b=12.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,8.8,25.0,-28.262699,-1.058044611,-6.536652443,2,Done,BTBT_theta=25.0_a=6.5_b=8.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
4.0,12.7,25.0,-34.78383312,-10.75773024,-3.317093161,2,Done,BTBT_theta=25.0_a=4.0_b=12.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,8.8,25.0,-28.26155693,-0.958352097,-6.586213183,2,Done,BTBT_theta=25.0_a=6.6_b=8.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
4.0,12.8,25.0,-34.55808012,-10.75773024,-3.260654912,2,Done,BTBT_theta=25.0_a=4.0_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,8.9,25.0,-28.0151463,-0.958352097,-6.524610526,2,Done,BTBT_theta=25.0_a=6.6_b=8.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.5,25.0,-34.92577588,-10.89126436,-3.285811788,2,Done,BTBT_theta=25.0_a=3.8_b=12.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
