a,b,theta,E,E_t,machine_type,status,file_name,E_p1,E_p2
9.0,5.5,35.0,-37.8141793073155,-6.2802204816835,2,Done,BTBT_a=9.0_b=5.5_theta=35.0_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-6.143178572645411,-0.2034701176453381
6.5,8.5,60.0,-36.53377025248483,-6.946611001389101,2,Done,BTBT_a=6.5_b=8.5_theta=60_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.2274221740663051,-4.146240949397907
7.0,8.0,50.0,-35.58607954951003,-7.637706589419395,1,Done,BTBT_a=7.0_b=8.0_theta=50_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.5420933386776596,-1.9755332572385669
4.0,11.0,30.0,-31.72561292769388,-2.614526689867489,1,Done,BTBT_a=4.0_b=11.0_theta=30_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.1226217288058251,-10.511131355306134
4.0,11.0,35.0,-31.41076606232673,-3.541540938196704,1,Done,BTBT_a=4.0_b=11.0_theta=35.0_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.117557723307982,-8.504743431461975
8.0,5.5,35.0,-31.7742575048469,-4.655961047508754,2,Done,BTBT_a=8.0_b=5.5_theta=35.0_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-6.143178572645411,-0.4320280847605318
8.5,5.5,40.0,-32.31135586369783,-4.733063201070763,2,Done,BTBT_a=8.5_b=5.5_theta=40_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-6.319678310537711,-0.3698732191696763
8.0,5.5,30.0,-35.04330849926919,-6.556230754824355,2,Done,BTBT_a=8.0_b=5.5_theta=30_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-4.06944000069052,-0.3397527392953634
9.5,5.0,40.0,-32.58713395847008,-4.701355120749213,1,Done,BTBT_a=9.5_b=5.0_theta=40.0_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-6.706958656897768,-0.1838980808388441
7.0,8.0,55.0,-36.02290181117132,-7.5773024768568575,1,Done,BTBT_a=7.0_b=8.0_theta=55_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.4320280847605318,-2.4248178671114147
8.5,6.0,35.0,-39.03636798402295,-7.022006327635609,2,Done,BTBT_a=8.5_b=6.0_theta=35_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-5.180710009997711,-0.2934613267425447
4.0,11.0,40.0,-22.638715920969844,-4.125257015344687,1,Done,BTBT_a=4.0_b=11.0_theta=40_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.1066829750780016,-2.9621609547175467
9.5,5.0,35.0,-27.98865282721817,-5.408414563513361,2,Done,BTBT_a=9.5_b=5.0_theta=35_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-3.0338665226008743,-0.1436307639814913
10.0,5.0,40.0,-32.644777026958764,-4.740932176471688,2,Done,BTBT_a=10.0_b=5.0_theta=40.0_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-6.706958656897768,-0.1335655036382377
8.0,5.5,40.0,-20.812975575216115,-1.7723580691963434,2,Done,BTBT_a=8.0_b=5.5_theta=40_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-6.319678310537711,-0.5420933386776596
7.0,8.0,60.0,-36.00531898112968,-7.394383311970159,1,Done,BTBT_a=7.0_b=8.0_theta=60_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.3397527392953634,-2.874140127329156
8.5,6.0,45.0,-31.414217367768288,-5.691986332647502,1,Done,BTBT_a=8.5_b=6.0_theta=45_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-3.867312754504383,-0.4558232640847564
4.0,11.0,25.0,-27.57060566591099,-1.4760541225550696,1,Done,BTBT_a=4.0_b=11.0_theta=25_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.1209588276688009,-10.712235760176554
9.5,5.0,45.0,-28.07772159622982,-3.155528161441908,2,Done,BTBT_a=9.5_b=5.0_theta=45_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-7.502026377245784,-0.2257780979853123
10.0,5.0,35.0,-25.794777465984225,-4.880264497012831,2,Done,BTBT_a=10.0_b=5.0_theta=35_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-3.0338665226008743,-0.1029932163655757
8.0,5.5,25.0,-26.998153392691165,-7.502729188418016,2,Done,BTBT_a=8.0_b=5.5_theta=25_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,1.770582216093317,-0.2642005356028676
4.5,10.5,35.0,-34.38151135435328,-4.064275593380444,1,Done,BTBT_a=4.5_b=10.5_theta=35_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.1578564154915511,-8.9043480749242
8.5,6.0,30.0,-39.21727911569178,-7.09881982661318,1,Done,BTBT_a=8.5_b=6.0_theta=30_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-5.183577730553225,-0.2274221740663051
4.5,11.0,35.0,-35.80696307029575,-4.440787868457846,1,Done,BTBT_a=4.5_b=11.0_theta=35_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.117557723307982,-8.9043480749242
9.5,5.5,35.0,-35.32088127359748,-5.686815650085919,2,Done,BTBT_a=9.5_b=5.5_theta=35_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-6.143178572645411,-0.1436307639814913
10.0,5.0,45.0,-31.523542158771303,-4.047809730865993,2,Done,BTBT_a=10.0_b=5.0_theta=45_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-7.502026377245784,-0.1641252404078841
9.0,5.0,35.0,-28.09881848283112,-5.406036300584674,2,Done,BTBT_a=9.0_b=5.0_theta=35_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-3.0338665226008743,-0.2034701176453381
9.0,5.0,40.0,-28.6656231652014,-3.6838978567393497,1,Done,BTBT_a=9.0_b=5.0_theta=40.0_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-6.706958656897768,-0.2580572122242301
8.5,6.0,25.0,-35.62365484889597,-6.87041873706039,1,Done,BTBT_a=8.5_b=6.0_theta=25_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-3.899322039680556,-0.1716679106466472
4.5,10.5,45.0,-32.47371780034155,-4.9398716716095805,2,Done,BTBT_a=4.5_b=10.5_theta=45_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.1216114379931241,-6.235504118958488
